α1,p1,q1,c1_1,c2_1,diff
0.8888,1.997088099889083,1.7564570403064934,1.4999975889633426,2.411036366307906e-6,1.4999951779269762
0.8889,1.9971026931611786,1.7564525830364348,1.4999976012154799,2.3987844407062003e-6,1.4999952024310392
0.889,1.9971172252348404,1.756448125912355,1.4999976134153168,2.386585594854842e-6,1.4999952268297219
0.8891,1.997131696330334,1.756443668885571,1.4999976255595389,2.3744396338395966e-6,1.499995251119905
0.8892,1.9971461066323992,1.7564392119122543,1.499997637653656,2.362346363559694e-6,1.4999952753072923
0.8893,1.9971604563613021,1.7564347549436192,1.499997649694095,2.3503055903363775e-6,1.4999952993885046
0.8894,1.9971747457159923,1.7564302979337714,1.4999976616825244,2.338317121222175e-6,1.499995323365403
0.8895,1.9971889749025253,1.7564258408357842,1.4999976736186937,2.326380763843809e-6,1.49999534723793
0.8896,1.997203144119851,1.7564213836036577,1.499997685504014,2.314496326477128e-6,1.4999953710076877
0.8897,1.9972172535811308,1.7564169261893792,1.4999976973361835,2.302663617931239e-6,1.4999953946725655
0.8898,1.9972313034782077,1.7564124685478268,1.4999977091181467,2.2908824477361757e-6,1.499995418235699
0.8899,1.9972452940242444,1.756408010630881,1.4999977208473456,2.2791526259142777e-6,1.4999954416947197
0.89,1.9972592254110841,1.756403552393313,1.4999977325264664,2.2674739632040413e-6,1.4999954650525031
0.8901,1.9972730978447824,1.7563990937878786,1.4999977441544854,2.255846270870808e-6,1.4999954883082145
0.8902,1.9972869115313945,1.756394634767279,1.4999977557302497,2.2442693607803673e-6,1.499995511460889
0.8903,1.997300666662766,1.7563901752861253,1.4999977672560616,2.2327430454702532e-6,1.499995534513016
0.8904,1.9973143634378463,1.7563857152979925,1.4999977787323024,2.2212671380370325e-6,1.4999955574651644
0.8905,1.9973280020555841,1.7563812547564006,1.4999977901592267,2.2098414521716538e-6,1.4999955803177745
0.8906,1.9973415827291423,1.7563767936128523,1.4999978015333828,2.198465802085715e-6,1.4999956030675807
0.8907,1.9973551056361538,1.756372331823704,1.49999781286014,2.18714000276213e-6,1.4999956257201372
0.8908,1.9973685709897784,1.7563678693403468,1.4999978241357905,2.1758638695927053e-6,1.499995648271921
0.8909,1.997381978981862,1.7563634061170639,1.4999978353618713,2.1646372186643297e-6,1.4999956707246527
0.891,1.997395329804249,1.756358942108081,1.4999978465397896,2.1534598666488193e-6,1.499995693079923
0.8911,1.997408623655889,1.7563544772665867,1.499997857669039,2.1423316307661163e-6,1.4999957153374082
0.8912,1.9974218607428371,1.756350011544732,1.4999978687471938,2.131252328783481e-6,1.499995737494865
0.8913,1.9974350412427282,1.756345544898537,1.4999978797788638,2.120221779188154e-6,1.4999957595570845
0.8914,1.9974481653687226,1.756341077279059,1.4999978907595832,2.109239800871393e-6,1.4999957815197824
0.8915,1.9974612332984538,1.7563366086422039,1.4999979016937077,2.098306213474642e-6,1.4999958033874943
0.8916,1.9974742452308711,1.7563321389408781,1.499997912580098,2.0874208371100747e-6,1.4999958251592609
0.8917,1.9974872013649265,1.7563276681279283,1.4999979234174916,2.076583492463509e-6,1.4999958468339991
0.8918,1.9975001018924625,1.756323196157127,1.4999979342062886,2.0657940008265924e-6,1.4999958684122878
0.8919,1.9975129469982198,1.7563187229831687,1.499997944948551,2.0550521840941276e-6,1.4999958898963668
0.892,1.9975257368811477,1.7563142485587275,1.499997955642641,2.0443578646612383e-6,1.4999959112847763
0.8921,1.9975384717330913,1.756309772837401,1.4999979662885827,2.0337108655232606e-6,1.4999959325777172
0.8922,1.9975511517316846,1.7563052957746896,1.4999979768898544,2.0231110103063126e-6,1.499995953778844
0.8923,1.997563777082982,1.7563008173221095,1.4999979874426537,2.01255812306632e-6,1.4999959748845306
0.8924,1.9975763479717235,1.7562963374340628,1.4999979979484204,2.002052028520121e-6,1.4999959958963918
0.8925,1.9975888645897535,1.756291856063909,1.4999980084066822,1.991592551910895e-6,1.4999960168141302
0.8926,1.9976013271147062,1.7562873731669124,1.499998018820418,1.9811795191046235e-6,1.499996037640899
0.8927,1.997613735745531,1.756282888695331,1.499998029187119,1.9708127564255082e-6,1.4999960583743628
0.8928,1.9976260906669676,1.7562784026033276,1.499998039507729,1.9604920908173186e-6,1.4999960790156381
0.8929,1.9976383920637553,1.7562739148450026,1.49999804978307,1.9502173497761915e-6,1.4999960995657202
0.893,1.997650640127738,1.7562694253734155,1.4999980600120495,1.939988361317313e-6,1.4999961200236882
0.8931,1.9976628350436563,1.756264934142544,1.499998070195242,1.9298049540372806e-6,1.499996140390288
0.8932,1.9976749769962487,1.7562604411063072,1.4999980803330983,1.919666957080252e-6,1.4999961606661412
0.8933,1.9976870661702542,1.7562559462185605,1.4999980904259487,1.909574200136346e-6,1.4999961808517486
0.8934,1.9976991027504125,1.756251449433097,1.4999981004739962,1.8995265134400335e-6,1.4999962009474828
