Asset,Weights
Asset_379,0.011481565931499557
Asset_380,0.0001785057813917308
Asset_381,-0.012093672180917692
Asset_382,0.012013044178875302
Asset_383,-0.003758231020791885
Asset_384,0.020792742069224268
Asset_385,0.009613101978702411
Asset_386,-0.016107798973676323
Asset_387,-0.004663683748889303
Asset_388,-0.01398712869932113
Asset_389,-0.0072748338023822965
Asset_390,0.006454981277973381
Asset_391,-0.002504919685239116
Asset_392,-0.00018169108757059318
Asset_393,-0.015761716795341094
Asset_394,0.010883743502444077
Asset_395,-0.004557533604283659
Asset_396,0.005466018485077067
Asset_397,-0.01035751375955921
Asset_398,0.008807750350728302
Asset_399,0.009597075882466149
Asset_400,-0.015013002308342965
Asset_401,-0.006796474257339767
Asset_402,-0.00480420091495532
Asset_403,-0.003001032795708123
Asset_404,-0.013401093968204101
Asset_405,0.0005923191472000108
Asset_406,0.0017166227489061982
Asset_407,0.007803535578257815
Asset_408,0.008261935709635683
Asset_409,0.009893402503280042
Asset_410,-0.003973514784416328
Asset_411,-0.01350725437594376
Asset_412,0.016652779266357456
Asset_413,0.00697825702596479
Asset_414,-0.009074604618359669
Asset_415,0.0070747728851112985
Asset_416,0.018374850521747237
Asset_417,0.010420696830303987
Asset_418,-0.00800150190091711
Asset_419,-0.0008580216382070801
Asset_420,0.010237860118750906
Asset_421,0.0005507048678032496
Asset_422,0.005433342568044268
Asset_423,0.017456056741697645
Asset_424,0.01435097642207484
Asset_425,0.018673086109162323
Asset_426,-0.00574494895610636
Asset_427,-0.01261124398498266
Asset_428,-0.018476451585244427
Asset_429,0.008345397816638612
Asset_430,0.006774605089697982
Asset_431,-0.00405864559137922
Asset_432,-0.0045832981908777515
Asset_433,0.011304389947134352
Asset_434,-0.007085845226387462
Asset_435,-0.018972704708130485
Asset_436,-0.0032782096498810754
Asset_437,0.0007180748568867564
Asset_438,-0.004312723963685098
Asset_439,0.012569774080854072
Asset_440,0.000590576191848854
Asset_441,-0.002303924353314543
Asset_442,0.005390640705537237
Asset_443,0.0045802448511734735
Asset_444,0.0034952685477943903
Asset_445,-0.007978484057140078
Asset_446,0.008310283331415397
Asset_447,0.023888521191881906
Asset_448,-0.006615700922660452
Asset_449,0.024120784640177424
Asset_450,0.0030623977003520005
Asset_451,0.005226515453443282
Asset_452,-0.002747269604335741
Asset_453,-0.0105890466130679
Asset_454,0.01627327979145259
Asset_455,0.008518063585032928
Asset_456,0.026900769554739894
Asset_457,0.004759108914129892
Asset_458,-0.0045443887175993045
Asset_459,0.01131708672691937
Asset_460,-0.009098924650367457
Asset_461,0.008691639799783098
Asset_462,-0.019226571823910462
Asset_463,0.0038273157315305965
Asset_464,0.027912104686444415
Asset_465,0.00959905225015699
Asset_466,0.012660541440674387
Asset_467,0.015501013720984013
Asset_468,-0.006077816274988926
Asset_469,0.007220050884120379
Asset_470,-0.009812381990376892
Asset_471,0.026620782101057585
Asset_472,-0.015786486597218964
Asset_473,-0.013938641137262828
Asset_474,0.01941159364745589
Asset_475,0.0028621584730893004
Asset_476,-0.015377978706572665
Asset_477,-0.01219702721782649
Asset_478,-0.007452996615817081
Asset_479,0.00508967829462292
Asset_480,0.009945263915311522
Asset_481,0.020456584930140267
Asset_482,0.015196975487865591
Asset_483,-0.001916420144776632
Asset_484,0.0030338882560811283
Asset_485,0.0024132653292879697
Asset_486,0.006649232038418151
Asset_487,0.00720945810502358
Asset_488,0.005630570462340048
Asset_489,0.010242292278812671
Asset_490,0.0018953106507111621
Asset_491,0.01089694302258799
Asset_492,0.0110126809590725
Asset_493,0.012311676245703092
Asset_494,0.026897422017249203
Asset_495,0.01705040071621079
Asset_496,0.0022505746635454195
Asset_497,0.01591936047284894
Asset_498,0.02762838954200851
Asset_499,-0.008321414595454582
Asset_500,0.010107262131251557
