α1,p1,q1,c1_1,c2_1,diff
0.4909,12.732356245662832,1.4999999999998272,0.9531160256612167,0.5468839743386105,0.4062320513226062
0.491,12.733763460000791,1.4999999999998153,0.95312702371218,0.5468729762876351,0.40625404742454496
0.4911,12.73517059339453,1.500000000000187,0.9531380194759351,0.546861980524252,0.4062760389516832
0.4912,12.736577645844056,1.5000000000009535,0.9531490129538537,0.5468509870470997,0.406298025906754
0.4913,12.737984618258842,1.4999999999996445,0.9531600041486834,0.5468399958509611,0.4063200082977223
0.4914,12.739391509274668,1.499999999999997,0.9531709930597341,0.5468290069402627,0.40634198611947137
0.4915,12.740798319346279,1.5000000000007812,0.9531819796890645,0.5468180203117166,0.4063639593773479
0.4916,12.742205048928412,1.5000000000007674,0.9531929640387308,0.5468070359620367,0.40638592807669405
0.4917,12.743611698021065,1.4999999999999685,0.9532039461101021,0.5467960538898664,0.40640789222023566
0.4918,12.745018266169499,1.4999999999996367,0.9532149259038615,0.5467850740957751,0.40642985180808633
0.4919,12.746424753373716,1.4999999999997833,0.9532259034213778,0.5467740965784056,0.4064518068429722
0.492,12.747831159633714,1.5000000000004197,0.9532368786640184,0.5467631213364011,0.40647375732761726
0.4921,12.749237485404237,1.5000000000003175,0.9532478516338354,0.5467521483664821,0.4064957032673533
0.4922,12.750643730230541,1.5000000000007274,0.9532588223315104,0.5467411776692171,0.40651764466229323
0.4923,12.75204989502211,1.4999999999991829,0.9532697907597769,0.5467302092394061,0.40653958152037084
0.4924,12.753455977959975,1.50000000000065,0.9532807569172633,0.5467192430833866,0.40656151383387673
0.4925,12.754861980863106,1.5000000000001854,0.9532917208080706,0.5467082791921148,0.4065834416159557
0.4926,12.756267902822021,1.5000000000002771,0.9533026824321942,0.5466973175680828,0.40660536486411136
0.4927,12.757673743836714,1.500000000000934,0.9533136417909965,0.5466863582099375,0.40662728358105904
0.4928,12.759079504816672,1.4999999999996936,0.9533245988872066,0.5466754011124871,0.4066491977747194
0.4929,12.760485184852412,1.4999999999990412,0.9533355537208192,0.546664446278222,0.40667110744259727
0.493,12.761890783489193,1.500000000000223,0.9533465062925136,0.5466534937077093,0.4066930125848043
0.4931,12.763296302091238,1.4999999999995386,0.9533574566056965,0.5466425433938422,0.40671491321185427
0.4932,12.764701739294322,1.5000000000007092,0.9533684046596821,0.5466315953410271,0.40673680931865497
0.4933,12.766107096462672,1.500000000000035,0.9533793504578736,0.5466206495421614,0.4067587009157122
0.4934,12.767512372686808,1.4999999999999991,0.9533902940002664,0.5466097059997326,0.40678058800053385
0.4935,12.768917567966719,1.5000000000006097,0.9534012352882181,0.5465987647123918,0.4068024705758263
0.4936,12.770322683211896,1.499999999999408,0.9534121743244471,0.5465878256749608,0.40682434864948636
0.4937,12.771727717058113,1.5000000000001075,0.9534231111082676,0.5465768888918399,0.40684622221642774
0.4938,12.773132670869598,1.4999999999990137,0.9534340456430761,0.5465659543559377,0.4068680912871384
0.4939,12.774537543282122,1.4999999999998397,0.9534449779281875,0.5465550220716523,0.4068899558565352
0.494,12.775942335205169,1.5000000000001263,0.9534559079663162,0.5465440920338102,0.406911815932506
